Nombre,Tipo de Actor,Organización,Cargo,Tipo Participación,Evento,Fecha,País,Tema/Panel,Fuente URL
Redwood Materials,Organización,Reciclaje baterías USA,Empresa destacada,Expositor empresarial,SAFE Summit 2024 – Solving the Global Power Puzzle,12-13 Mar 2024,EEUU,Litio circular,https://safesummit.org/safe-summit-highlights/
Teck Resources,Organización,Minera canadiense,Empresa destacada,Expositor empresarial,SAFE Summit 2024 – Solving the Global Power Puzzle,12-13 Mar 2024,EEUU,Cobre/zinc,https://safesummit.org/safe-summit-highlights/
House Select Committee on the Chinese Communist Party,Organización,Congreso EEUU,Delegación legislativa,Panelistas legisladores,SAFE Summit 2024 – Solving the Global Power Puzzle,12-13 Mar 2024,EEUU,China y CRM,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/2313-tsx-venture/jrv/157341-jervois-to-present-at-safe-summit-2024-in-washington-d-c.html
The Westin Washington DC Downtown,Organización,Hotel sede,Sede,Sede,SAFE Summit 2024 – Solving the Global Power Puzzle,12-13 Mar 2024,EEUU,Sede física,https://safesummit.org/wp-content/uploads/speakers/SAFESUMMIT---2024-cleaned-new-refined.html
Cui Dongshu,Persona,CPCA – China Passenger Car Association,Secretario General,Panelista,Mysteel 2nd China Lithium Industry Forum Jiangxi,28-30 Mar 2024,China,Mercado EV China,https://www.mysteel.net/
Mysteel,Organización,Consultora de mercado china,Organizador,Organizador principal,Mysteel 2nd China Lithium Industry Forum Jiangxi,28-30 Mar 2024,China,Foro litio China,https://www.mysteel.net/
Minmetals Futures,Organización,Financiera minera china,Co-organizador,Co-organizador,Mysteel 2nd China Lithium Industry Forum Jiangxi,28-30 Mar 2024,China,Precios y futuros,https://www.mysteel.net/
Huayou Cobalt / Recycling,Organización,Reciclaje baterías China,Panelista institucional,Panelista,Mysteel 2nd China Lithium Industry Forum Jiangxi,28-30 Mar 2024,China,Reciclaje litio,https://www.mysteel.net/
China Material Recycling Association,Organización,Asociación gremial,Panelista institucional,Panelista,Mysteel 2nd China Lithium Industry Forum Jiangxi,28-30 Mar 2024,China,Reciclaje CRM,https://www.mysteel.net/
ILiA – International Lithium Association,Organización,Asociación global litio,Asistente institucional,Asistente,Mysteel 2nd China Lithium Industry Forum Jiangxi,28-30 Mar 2024,China,Posición global ILiA,https://www.mysteel.net/
Guangzhou Futures Exchange,Organización,Bolsa de futuros china,Organizador asociado (MMLC index),Lanzamiento índice,Mysteel 2nd China Lithium Industry Forum Jiangxi,28-30 Mar 2024,China,Índice MMLC,https://www.mysteel.net/
Jiangte Motor,Organización,Fabricante motores China (litio),Patrocinador,Patrocinador,Mysteel 2nd China Lithium Industry Forum Jiangxi,28-30 Mar 2024,China,Industria litio Jiangxi,https://www.mysteel.net/
Mónica Bruckmann,Persona,UFRJ / CLACSO,Coordinadora GT Geopolítica,Organizadora mesa,X Conferencia CLACSO 2025 (mesa minerales críticos Sudamérica),9-12 Jun 2025,Colombia,Geopolítica minerales críticos,https://conferenciaclacso.org/programa/resumen_ponencia.php?ponencia=Conf-1-3492-81825
Pablo Vommaro,Persona,CLACSO,Director Formación,Organización institucional,X Conferencia CLACSO 2025 (mesa minerales críticos Sudamérica),9-12 Jun 2025,Colombia,Academia crítica LATAM,https://conferenciaclacso.org/programa/resumen_ponencia.php?ponencia=Conf-1-3492-81825
Karina Batthyány,Persona,CLACSO,Secretaria Ejecutiva,Organización institucional,X Conferencia CLACSO 2025 (mesa minerales críticos Sudamérica),9-12 Jun 2025,Colombia,Dirección CLACSO,https://conferenciaclacso.org/programa/resumen_ponencia.php?ponencia=Conf-1-3492-81825
CLACSO,Organización,Consejo Latinoamericano Ciencias Sociales,Organizador principal,Organizador,X Conferencia CLACSO 2025 (mesa minerales críticos Sudamérica),9-12 Jun 2025,Colombia,X Conferencia,https://conferenciaclacso.org/programa/resumen_ponencia.php?ponencia=Conf-1-3492-81825
UFJF / UFPB / UNAM / UEG / CIIEMAD-IPN / UNILA,Organización,Universidades LATAM,Ponentes académicos,Ponentes,X Conferencia CLACSO 2025 (mesa minerales críticos Sudamérica),9-12 Jun 2025,Colombia,Eje Ambiente/transiciones,https://conferenciaclacso.org/programa/resumen_ponencia.php?ponencia=Conf-1-3492-81825
Charles Michel,Persona,Consejo Europeo,Presidente,Co-presidente cumbre,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Renovar alianza UE-CELAC,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Ralph E. Gonsalves,Persona,Gobierno San Vicente y las Granadinas,Primer Ministro / Presidencia pro-tempore CELAC,Co-presidente cumbre,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Presidencia CELAC,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Ursula von der Leyen,Persona,Comisión Europea,Presidenta,Participante alto nivel,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Global Gateway,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Gabriel Boric,Persona,Gobierno de Chile,Presidente,Jefe de Estado firmante,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Firma MoU CRM con UE,https://www.canninghouse.org/canning-insights/eu-celac-summit
Alberto Fernández,Persona,Gobierno Argentina,Presidente,Jefe de Estado firmante,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Firma MoU energía-litio UE,https://www.stvincenttimes.com/celac-eu-issue-joint-declaration-following-2023-summit-in-brussels/
Luis Lacalle Pou,Persona,Gobierno Uruguay,Presidente,Jefe de Estado firmante,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Firma MoU energía/renovables UE,https://www.stvincenttimes.com/celac-eu-issue-joint-declaration-following-2023-summit-in-brussels/
Lula da Silva,Persona,Gobierno Brasil,Presidente,Jefe de Estado,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Participación cumbre,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Gustavo Petro,Persona,Gobierno Colombia,Presidente,Jefe de Estado,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Participación cumbre,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Luis Arce,Persona,Gobierno Bolivia,Presidente,Jefe de Estado,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Participación cumbre,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Miguel Díaz-Canel,Persona,Gobierno Cuba,Presidente,Jefe de Estado,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Participación cumbre,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Guillermo Lasso,Persona,Gobierno Ecuador,Presidente,Jefe de Estado,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Participación cumbre,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Luis Abinader,Persona,Gobierno República Dominicana,Presidente,Jefe de Estado,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Participación cumbre,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Ariel Henry,Persona,Gobierno Haití,Primer Ministro,Jefe de Gobierno,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Participación cumbre,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Pedro Sánchez,Persona,Gobierno España,Presidente del Gobierno,Jefe de Gobierno,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Presidencia semestre UE,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Emmanuel Macron,Persona,Gobierno Francia,Presidente,Jefe de Estado,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Participación cumbre,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Olaf Scholz,Persona,Gobierno Alemania,Canciller,Jefe de Gobierno,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Participación cumbre,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
António Costa,Persona,Gobierno Portugal,Primer Ministro,Jefe de Gobierno,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Participación cumbre,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Mette Frederiksen,Persona,Gobierno Dinamarca,Primera Ministra,Jefa de Gobierno,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Participación cumbre,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Alexander De Croo,Persona,Gobierno Bélgica,Primer Ministro,Jefe de Gobierno,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Participación cumbre,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Josep Borrell,Persona,SEAE – UE,Alto Representante UE,Participante alto nivel,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Diplomacia UE,https://www.eeas.europa.eu/delegations/trinidad-and-tobago/eu-celac-summit-2023_en?s=156
Roberta Metsola,Persona,Parlamento Europeo,Presidenta,Participante alto nivel,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Parlamento UE,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
Werner Hoyer,Persona,Banco Europeo de Inversiones (EIB),Presidente,Participante alto nivel,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Global Gateway financiamiento,https://www.stvincenttimes.com/celac-eu-issue-joint-declaration-following-2023-summit-in-brussels/
Ricardo Mourinho Félix,Persona,EIB,Vicepresidente,Participante alto nivel,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Préstamos Chile / Brasil,https://www.stvincenttimes.com/celac-eu-issue-joint-declaration-following-2023-summit-in-brussels/
Consejo Europeo,Organización,UE,Co-convocante,Co-convocante,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,3ª Cumbre EU-CELAC,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
CELAC,Organización,Comunidad Latinoamericana y Caribeña,Co-convocante,Co-convocante,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,3ª Cumbre EU-CELAC,https://www.consilium.europa.eu/en/meetings/international-summit/2023/07/17-18/
27 Estados Miembros UE,Organización,Jefes de Estado y Gobierno UE,Delegaciones oficiales,Delegaciones,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Jefes de Estado UE,https://www.eeas.europa.eu/delegations/trinidad-and-tobago/eu-celac-summit-2023_en?s=156
33 Estados CELAC,Organización,Jefes de Estado y Gobierno CELAC,Delegaciones oficiales,Delegaciones,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Jefes de Estado CELAC,https://www.eeas.europa.eu/delegations/trinidad-and-tobago/eu-celac-summit-2023_en?s=156
EU-LAC Foundation,Organización,Fundación bi-regional,Organizadora foros preparatorios,Organizadora de foros temáticos,3ª Cumbre EU-CELAC,17-18 Jul 2023,Bélgica,Preparación cumbre,https://eulacfoundation.org/en/iii-eu-celac-summit-2023
Rodrigo Alda Varas,Persona,Universidad Católica del Norte (UCN),Rector,Anfitrión y panelista,Congreso Futuro 2024 Antofagasta (panel Litio),2024-01-17,Chile,Apertura panel litio,https://www.reporteminero.cl/noticia/noticias/2024/01/litio-inteligencia-artificial-congreso-futuro-antofagasta
Auditorio Museo Ruinas de Huanchaca,Organización,Museo / recinto público,Sede,Sede física,Congreso Futuro 2024 Antofagasta (panel Litio),2024-01-17,Chile,Sede Antofagasta,https://www.noticias.ucn.cl/destacado/congreso-futuro-2024-llega-a-la-region-de-antofagasta/
"Comisión ""Desafíos del Futuro"" del Senado",Organización,Senado de Chile,Co-organizadora nacional,Co-organizadora,Congreso Futuro 2024 Antofagasta (panel Litio),2024-01-17,Chile,Convocatoria nacional,https://www.noticias.ucn.cl/destacado/congreso-futuro-2024-llega-a-la-region-de-antofagasta/
Fundación Encuentros del Futuro,Organización,Fundación chilena ciencia,Co-organizadora nacional,Co-organizadora,Congreso Futuro 2024 Antofagasta (panel Litio),2024-01-17,Chile,Producción Congreso Futuro,https://www.noticias.ucn.cl/destacado/congreso-futuro-2024-llega-a-la-region-de-antofagasta/
Universidad Católica del Norte (UCN),Organización,Universidad privada Antofagasta,Co-organizadora regional,Co-organizadora,Congreso Futuro 2024 Antofagasta (panel Litio),2024-01-17,Chile,Institución anfitriona,https://www.noticias.ucn.cl/destacado/congreso-futuro-2024-llega-a-la-region-de-antofagasta/
100 expositores de 20+ países (ediciones nacionales 15-20 enero),Organización,Delegación internacional académica,Expositores nacionales,Expositores ediciones nacionales,Congreso Futuro 2024 Antofagasta (panel Litio),2024-01-17,Chile,Nacional Congreso Futuro,https://es.wikipedia.org/wiki/Congreso_Futuro
Alejandra Donoso,Persona,Defensoría Ambiental,Abogada ambientalista,Panelista primer panel (impactos),"Seminario ""Desafíos de la Transición Justa en el Norte de Chile"" – Fundación Tantí",2024-10-23,Chile,Justicia ambiental H2V y minería,https://portalinnova.cl/seminario-gratuito-sobre-el-impacto-de-los-proyectos-energeticos-en-las-comunidades-nortinas/
Gabriela Garrido,Persona,Panel Ciudadano de H2V de Magallanes,Representante ciudadana,Panelista,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile"" – Fundación Tantí",2024-10-23,Chile,Participación ciudadana H2V,https://portalinnova.cl/seminario-gratuito-sobre-el-impacto-de-los-proyectos-energeticos-en-las-comunidades-nortinas/
Pamela Poo,Persona,Fundación Ecosur,Directora / investigadora,Panelista,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile"" – Fundación Tantí",2024-10-23,Chile,Transición energética LATAM,https://portalinnova.cl/seminario-gratuito-sobre-el-impacto-de-los-proyectos-energeticos-en-las-comunidades-nortinas/
Robinson Galleguillos Morel,Persona,Comunidad Atacameña San Francisco de Chiu-Chiu,Presidente,Panelista territorial,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile"" – Fundación Tantí",2024-10-23,Chile,Defensa medio ambiente y patrimonio,https://fundaciontanti.org/seminario/
Comunidad Atacameña San Francisco de Chiu-Chiu,Organización,Comunidad indígena atacameña,Actor territorial,Representación territorial,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile"" – Fundación Tantí",2024-10-23,Chile,Norte Chile,https://fundaciontanti.org/seminario/
Comunidad Peine (caso emblemático),Organización,Comunidad atacameña,Caso estudio territorial,Caso de estudio,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile"" – Fundación Tantí",2024-10-23,Chile,Caso emblemático impactos,https://www.pautadiaria.cl/fundacion-tanti-revela-los-impactos-negativos-en-comunidades-nortinas-a-causa-de-proyectos-mineros-y-energeticos/
Comunidad Mejillones (caso emblemático),Organización,Comuna costera Antofagasta,Caso estudio territorial,Caso de estudio,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile"" – Fundación Tantí",2024-10-23,Chile,Caso emblemático H2V,https://www.pautadiaria.cl/fundacion-tanti-revela-los-impactos-negativos-en-comunidades-nortinas-a-causa-de-proyectos-mineros-y-energeticos/
Comunidad Taltal (caso emblemático),Organización,Comuna costera Antofagasta,Caso estudio territorial,Caso de estudio,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile"" – Fundación Tantí",2024-10-23,Chile,Caso emblemático renovables,https://www.pautadiaria.cl/fundacion-tanti-revela-los-impactos-negativos-en-comunidades-nortinas-a-causa-de-proyectos-mineros-y-energeticos/
Fundación Heinrich Böll Stiftung Cono Sur,Organización,Fundación política alemana,Patrocinadora seminario,Patrocinador,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile"" – Fundación Tantí",2024-10-23,Chile,Financiamiento seminario,https://fundaciontanti.org/2025/01/30/memoria-seminario-desafios-de-la-transicion-justa-en-el-norte-de-chile/
Campus Coloso Universidad de Antofagasta,Organización,Sede UA,Sede institucional,Sede física,"Seminario ""Desafíos de la Transición Justa en el Norte de Chile"" – Fundación Tantí",2024-10-23,Chile,Sede Antofagasta,https://portalinnova.cl/seminario-gratuito-sobre-el-impacto-de-los-proyectos-energeticos-en-las-comunidades-nortinas/
Hotel Antofagasta,Organización,Hotel / sede,Sede,Sede física,"IWLiME 2025 – 12ª Conferencia Internacional Litio, Minerales Industriales y Energía",21-23 Oct 2025,Chile,Sede conferencia 3 jornadas,https://www.redimin.cl/iwlime-2025-primeras-baterias-de-litio-fabricadas-en-antofagasta-marcan-nuevo-hito-para-la-industria/
CELiMIN – Centro Investigación Avanzada Litio y Minerales Industriales,Organización,Centro académico UA,Organizador principal,Organizador principal,"IWLiME 2025 – 12ª Conferencia Internacional Litio, Minerales Industriales y Energía",21-23 Oct 2025,Chile,Baterías Li fabricadas en Antofagasta,https://www.reporteminero.cl/noticia/noticias/2025/10/baterias-litio-antofagasta-iwlime-2025
SQM Litio,Organización,Productora chilena litio,Aliada estratégica organización,Colaboradora / patrocinadora,"IWLiME 2025 – 12ª Conferencia Internacional Litio, Minerales Industriales y Energía",21-23 Oct 2025,Chile,Alianza CELiMIN-SQM Salar Futuro,https://www.reporteminero.cl/noticia/noticias/2025/10/baterias-litio-antofagasta-iwlime-2025
Centro Lithium I+D+i UCN,Organización,Centro académico UCN,Participante institucional,Co-participante académico,"IWLiME 2025 – 12ª Conferencia Internacional Litio, Minerales Industriales y Energía",21-23 Oct 2025,Chile,Participación académica,https://www.reporteminero.cl/noticia/noticias/2025/10/baterias-litio-antofagasta-iwlime-2025
Universidad Nacional de Córdoba (UNC),Organización,Universidad pública Argentina,Co-organizadora internacional,Co-organizadora histórica,"IWLiME 2025 – 12ª Conferencia Internacional Litio, Minerales Industriales y Energía",21-23 Oct 2025,Chile,Red IWLiME LATAM,https://cicitem.cl/events/iwlime/
Universidad Mayor de San Andrés (UMSA) Bolivia,Organización,Universidad pública boliviana,Co-organizadora internacional,Co-organizadora histórica,"IWLiME 2025 – 12ª Conferencia Internacional Litio, Minerales Industriales y Energía",21-23 Oct 2025,Chile,Red IWLiME LATAM,https://cicitem.cl/events/iwlime/
Universidad Católica Boliviana,Organización,Universidad privada Bolivia,Co-organizadora internacional,Co-organizadora histórica,"IWLiME 2025 – 12ª Conferencia Internacional Litio, Minerales Industriales y Energía",21-23 Oct 2025,Chile,Red IWLiME LATAM,https://cicitem.cl/events/iwlime/
INIFTA – Instituto Investigaciones Fisicoquímicas Teóricas y Aplicadas,Organización,Instituto CONICET Argentina,Co-organizadora internacional,Co-organizadora histórica,"IWLiME 2025 – 12ª Conferencia Internacional Litio, Minerales Industriales y Energía",21-23 Oct 2025,Chile,Red IWLiME LATAM,https://cicitem.cl/events/iwlime/
CICITEM – Centro Investigación Científica y Tecnológica para Minería,Organización,Centro de investigación Chile,Co-organizador nacional,Co-organizador,"IWLiME 2025 – 12ª Conferencia Internacional Litio, Minerales Industriales y Energía",21-23 Oct 2025,Chile,Red IWLiME Chile,https://cicitem.cl/events/iwlime/
Ruth Rodríguez,Persona,Gobierno Regional de Antofagasta (GORE),Jefa División Fomento e Industria (DIFOI),Estudiante diplomado / panelista,"Conversatorio Diplomado Litio UCN-UA (Producción, Uso y Reciclaje)",2023-12-01,Chile,Ecosistema de conocimiento regional,https://www.mch.cl/formacion/universidad-catolica-del-norte-realiza-conversatorio-sobre-el-litio/
Gabriel Madero,Persona,Estudiante geólogo independiente,Geólogo / estudiante,Estudiante diplomado / panelista,"Conversatorio Diplomado Litio UCN-UA (Producción, Uso y Reciclaje)",2023-12-01,Chile,Visiones partes interesadas,https://www.mch.cl/formacion/universidad-catolica-del-norte-realiza-conversatorio-sobre-el-litio/
Jorge Tabilo Álvarez,Persona,UCN (periodo rectoría 2018),Rector (ciclos previos),Autoridad histórica ciclo,"Conversatorio Diplomado Litio UCN-UA (Producción, Uso y Reciclaje)",2023-12-01,Chile,Antecedente ciclos UCN,https://www.noticias.ucn.cl/destacado/ucn-presente-en-seminario-litio-oportunidades-desafios-para-chile-y-la-region-de-antofagasta/
Consorcio HEUMA,Organización,Consorcio académico-industrial,Apoyo institucional diplomado,Apoyo institucional,"Conversatorio Diplomado Litio UCN-UA (Producción, Uso y Reciclaje)",2023-12-01,Chile,Cadena valor litio,https://sqm-ynv.com/noticia/ucn-ua-y-sqm-inauguran-el-unico-diplomado-en-chile-sobre-la-cadena-de-valor-de-la-industria-del-litio/
IPP – Instituto de Políticas Públicas UCN,Organización,Centro académico UCN,Co-organizador ciclo,Co-organizador,"Conversatorio Diplomado Litio UCN-UA (Producción, Uso y Reciclaje)",2023-12-01,Chile,Ciclo Diálogos Abiertos,https://www.laizquierdadiario.com.uy/El-seminario-sobre-el-impacto-del-Litio-en-la-politica-publica-Reivindicando-migajas-de-SQM-y
Vladimir Reyes,Persona,CPA – Consejo de Pueblos Atacameños,Presidente,Panelista edición 2023,"Ciclo ""Diálogos Abiertos sobre el Litio"" (IPP-UCN + SQM + El Mercurio Antofagasta)",2023-08-01,Chile,Posición comunidades Atacameñas,https://www.laizquierdadiario.com.uy/El-seminario-sobre-el-impacto-del-Litio-en-la-politica-publica-Reivindicando-migajas-de-SQM-y
Ricardo Díaz,Persona,Gobierno Regional de Antofagasta,Gobernador Regional,Panelista edición 2023,"Ciclo ""Diálogos Abiertos sobre el Litio"" (IPP-UCN + SQM + El Mercurio Antofagasta)",2023-08-01,Chile,Política regional litio,https://www.laizquierdadiario.com.uy/El-seminario-sobre-el-impacto-del-Litio-en-la-politica-publica-Reivindicando-migajas-de-SQM-y
Justo Zuleta,Persona,Municipalidad San Pedro de Atacama,Alcalde (FRVS),Panelista edición 2023,"Ciclo ""Diálogos Abiertos sobre el Litio"" (IPP-UCN + SQM + El Mercurio Antofagasta)",2023-08-01,Chile,Política local atacameña,https://www.laizquierdadiario.com.uy/El-seminario-sobre-el-impacto-del-Litio-en-la-politica-publica-Reivindicando-migajas-de-SQM-y
Vicepresidente Ejecutivo SQM,Persona,SQM,Vicepresidente Ejecutivo,Panelista edición 2023,"Ciclo ""Diálogos Abiertos sobre el Litio"" (IPP-UCN + SQM + El Mercurio Antofagasta)",2023-08-01,Chile,Modelo productivo SQM,https://www.laizquierdadiario.com.uy/El-seminario-sobre-el-impacto-del-Litio-en-la-politica-publica-Reivindicando-migajas-de-SQM-y
El Mercurio de Antofagasta,Organización,Medio de prensa regional,Co-organizador,Co-organizador,"Ciclo ""Diálogos Abiertos sobre el Litio"" (IPP-UCN + SQM + El Mercurio Antofagasta)",2022-2024 (ediciones anuales),Chile,Difusión ciclo,https://www.laizquierdadiario.com.uy/El-seminario-sobre-el-impacto-del-Litio-en-la-politica-publica-Reivindicando-migajas-de-SQM-y
Consultoras del sector privado,Organización,Consultoras minería (sin nombrar),Panelistas empresariales,Panelistas,"Ciclo ""Diálogos Abiertos sobre el Litio"" (IPP-UCN + SQM + El Mercurio Antofagasta)",2023-08-01,Chile,Visión consultora privada,https://www.laizquierdadiario.com.uy/El-seminario-sobre-el-impacto-del-Litio-en-la-politica-publica-Reivindicando-migajas-de-SQM-y
Hotel Antofagasta (sede edición 2023),Organización,Hotel sede,Sede,Sede física,"Ciclo ""Diálogos Abiertos sobre el Litio"" (IPP-UCN + SQM + El Mercurio Antofagasta)",2023-08-01,Chile,Sede edición 2023,https://www.laizquierdadiario.com.uy/El-seminario-sobre-el-impacto-del-Litio-en-la-politica-publica-Reivindicando-migajas-de-SQM-y
Raúl Jalil,Persona,Gobierno de Catamarca,Gobernador,Apertura oficial,"XI Seminario Internacional ""Litio en la Región de Sudamérica""",31 May - 1 Jun 2022,Argentina,Anfitrión,https://www.elesquiu.com/politica/2022/6/1/catamarca-sede-del-seminario-internacional-con-la-presencia-de-referentes-en-litio-436958.html
Fernanda Ávila,Persona,Secretaría Minería Nación (Arg),Secretaria de Minería,Apertura oficial,"XI Seminario Internacional ""Litio en la Región de Sudamérica""",31 May - 1 Jun 2022,Argentina,Política minera nacional,https://www.elesquiu.com/politica/2022/6/1/catamarca-sede-del-seminario-internacional-con-la-presencia-de-referentes-en-litio-436958.html
Gilberto Antoniazzi,Persona,Livent Corporation,Chief Financial Officer,"Expositor empresarial (histórico edición X, prevé replicar)","XI Seminario Internacional ""Litio en la Región de Sudamérica""",31 May - 1 Jun 2022,Argentina,Livent Fénix / perfil empresarial,https://panorama-minero.com/es/news/x-seminario-internacional-litio-en-sudamerica-analisis-profundos-y-los-caminos-del-futuro-cercano
Roberto Cacciola,Persona,CAEM,Presidente,Apertura oficial,"18° Seminario ""Argentina Oro, Plata y Cobre"" (Panorama Minero)",4-5 Dic 2024,Argentina,Bienvenida sector minero,https://editorialrn.com.ar/o-18o-seminario-internacional-argentina-oro-plata-y-cobre/
Manuel Benítez,Persona,Cámara Argentina de Proveedores Mineros,Presidente,Apertura oficial,"18° Seminario ""Argentina Oro, Plata y Cobre"" (Panorama Minero)",4-5 Dic 2024,Argentina,Cadena de proveedores,https://editorialrn.com.ar/o-18o-seminario-internacional-argentina-oro-plata-y-cobre/
Hebe Casado,Persona,Gobierno de Mendoza,Vicegobernadora,Panelista apertura,"18° Seminario ""Argentina Oro, Plata y Cobre"" (Panorama Minero)",4-5 Dic 2024,Argentina,Minería Mendoza,https://editorialrn.com.ar/o-18o-seminario-internacional-argentina-oro-plata-y-cobre/
María Eugenia Sampalione,Persona,Women in Mining Argentina (WIM),Presidenta saliente,Panel WIM,"18° Seminario ""Argentina Oro, Plata y Cobre"" (Panorama Minero)",4-5 Dic 2024,Argentina,Mujeres en minería,https://editorialrn.com.ar/o-18o-seminario-internacional-argentina-oro-plata-y-cobre/
Amalia Sáenz,Persona,Lake Resources / WIM Argentina,Presidenta entrante WIM,Transición WIM,"18° Seminario ""Argentina Oro, Plata y Cobre"" (Panorama Minero)",4-5 Dic 2024,Argentina,Mujeres en minería,https://editorialrn.com.ar/o-18o-seminario-internacional-argentina-oro-plata-y-cobre/
Torsten Ericsson,Persona,Embajada de Suecia en Argentina,Embajador,Apertura oficial / panel embajadores,"18° Seminario ""Argentina Oro, Plata y Cobre"" (Panorama Minero)",4-5 Dic 2024,Argentina,Diplomacia minera,https://editorialrn.com.ar/o-18o-seminario-internacional-argentina-oro-plata-y-cobre/
Glencore,Organización,Minera global suiza,Expositor destacado,Expositor,"18° Seminario ""Argentina Oro, Plata y Cobre"" (Panorama Minero)",4-5 Dic 2024,Argentina,Anuncio USD 400 M cobre Mara/El Pachón,https://eltribunodejujuy.com/informacion-general/2024-12-4-0-0-0-seminario-de-oro-plata-y-cobre
McEwen Copper,Organización,Minera cobre,Expositor destacado,Expositor,"18° Seminario ""Argentina Oro, Plata y Cobre"" (Panorama Minero)",4-5 Dic 2024,Argentina,Proyecto cobre Argentina,https://eltribunodejujuy.com/informacion-general/2024-12-4-0-0-0-seminario-de-oro-plata-y-cobre
Pan American Silver Argentina,Organización,Productora plata,Expositor destacado,Expositor,"18° Seminario ""Argentina Oro, Plata y Cobre"" (Panorama Minero)",4-5 Dic 2024,Argentina,Proyecto plata,https://eltribunodejujuy.com/informacion-general/2024-12-4-0-0-0-seminario-de-oro-plata-y-cobre
Cámara Argentina de Proveedores Mineros,Organización,Gremio proveedores,Organización sectorial,Co-organizador,"18° Seminario ""Argentina Oro, Plata y Cobre"" (Panorama Minero)",4-5 Dic 2024,Argentina,Cadena de proveedores,https://editorialrn.com.ar/o-18o-seminario-internacional-argentina-oro-plata-y-cobre/
Women in Mining Argentina,Organización,Asociación mujeres mineras,Organización sectorial,Panel WIM,"18° Seminario ""Argentina Oro, Plata y Cobre"" (Panorama Minero)",4-5 Dic 2024,Argentina,Equidad de género minería,https://editorialrn.com.ar/o-18o-seminario-internacional-argentina-oro-plata-y-cobre/
